Sentence;Cases
the causes that john feared fighting for;RelObj
the causes that john feared fighting against;RelObj
the causes that john loved fighting for;RelObj
the causes that john loved fighting against;RelObj
the causes that john hated fighting for;RelObj
the causes that john hated fighting against;RelObj
the causes that john thought about fighting for;RelObj
the causes that john thought about fighting against;RelObj
the causes that mary feared fighting for;RelObj
the causes that mary feared fighting against;RelObj
the causes that mary loved fighting for;RelObj
the causes that mary loved fighting against;RelObj
the causes that mary hated fighting for;RelObj
the causes that mary hated fighting against;RelObj
the causes that mary thought about fighting for;RelObj
the causes that mary thought about fighting against;RelObj
the causes that politicians feared fighting for;RelObj
the causes that politicians feared fighting against;RelObj
the causes that politicians loved fighting for;RelObj
the causes that politicians loved fighting against;RelObj
the causes that politicians hated fighting for;RelObj
the causes that politicians hated fighting against;RelObj
the causes that politicians thought about fighting for;RelObj
the causes that politicians thought about fighting against;RelObj
the causes that activists feared fighting for;RelObj
the causes that activists feared fighting against;RelObj
the causes that activists loved fighting for;RelObj
the causes that activists loved fighting against;RelObj
the causes that activists hated fighting for;RelObj
the causes that activists hated fighting against;RelObj
the causes that activists thought about fighting for;RelObj
the causes that activists thought about fighting against;RelObj
the causes that governments feared fighting for;RelObj
the causes that governments feared fighting against;RelObj
the causes that governments loved fighting for;RelObj
the causes that governments loved fighting against;RelObj
the causes that governments hated fighting for;RelObj
the causes that governments hated fighting against;RelObj
the causes that governments thought about fighting for;RelObj
the causes that governments thought about fighting against;RelObj
the movements that john feared fighting for;RelObj
the movements that john feared fighting against;RelObj
the movements that john loved fighting for;RelObj
the movements that john loved fighting against;RelObj
the movements that john hated fighting for;RelObj
the movements that john hated fighting against;RelObj
the movements that john thought about fighting for;RelObj
the movements that john thought about fighting against;RelObj
the movements that mary feared fighting for;RelObj
the movements that mary feared fighting against;RelObj
the movements that mary loved fighting for;RelObj
the movements that mary loved fighting against;RelObj
the movements that mary hated fighting for;RelObj
the movements that mary hated fighting against;RelObj
the movements that mary thought about fighting for;RelObj
the movements that mary thought about fighting against;RelObj
the movements that politicians feared fighting for;RelObj
the movements that politicians feared fighting against;RelObj
the movements that politicians loved fighting for;RelObj
the movements that politicians loved fighting against;RelObj
the movements that politicians hated fighting for;RelObj
the movements that politicians hated fighting against;RelObj
the movements that politicians thought about fighting for;RelObj
the movements that politicians thought about fighting against;RelObj
the movements that activists feared fighting for;RelObj
the movements that activists feared fighting against;RelObj
the movements that activists loved fighting for;RelObj
the movements that activists loved fighting against;RelObj
the movements that activists hated fighting for;RelObj
the movements that activists hated fighting against;RelObj
the movements that activists thought about fighting for;RelObj
the movements that activists thought about fighting against;RelObj
the movements that governments feared fighting for;RelObj
the movements that governments feared fighting against;RelObj
the movements that governments loved fighting for;RelObj
the movements that governments loved fighting against;RelObj
the movements that governments hated fighting for;RelObj
the movements that governments hated fighting against;RelObj
the movements that governments thought about fighting for;RelObj
the movements that governments thought about fighting against;RelObj
the people that john feared fighting for;RelObj
the people that john feared fighting against;RelObj
the people that john loved fighting for;RelObj
the people that john loved fighting against;RelObj
the people that john hated fighting for;RelObj
the people that john hated fighting against;RelObj
the people that john thought about fighting for;RelObj
the people that john thought about fighting against;RelObj
the people that mary feared fighting for;RelObj
the people that mary feared fighting against;RelObj
the people that mary loved fighting for;RelObj
the people that mary loved fighting against;RelObj
the people that mary hated fighting for;RelObj
the people that mary hated fighting against;RelObj
the people that mary thought about fighting for;RelObj
