Sentence;Cases
john feared fighting for these causes .;AffObj
john feared fighting for these movements .;AffObj
john feared fighting for these people .;AffObj
john feared fighting for these laws .;AffObj
john feared fighting against these causes .;AffObj
john feared fighting against these movements .;AffObj
john feared fighting against these people .;AffObj
john feared fighting against these laws .;AffObj
john loved fighting for these causes .;AffObj
john loved fighting for these movements .;AffObj
john loved fighting for these people .;AffObj
john loved fighting for these laws .;AffObj
john loved fighting against these causes .;AffObj
john loved fighting against these movements .;AffObj
john loved fighting against these people .;AffObj
john loved fighting against these laws .;AffObj
john hated fighting for these causes .;AffObj
john hated fighting for these movements .;AffObj
john hated fighting for these people .;AffObj
john hated fighting for these laws .;AffObj
john hated fighting against these causes .;AffObj
john hated fighting against these movements .;AffObj
john hated fighting against these people .;AffObj
john hated fighting against these laws .;AffObj
john thought about fighting for these causes .;AffObj
john thought about fighting for these movements .;AffObj
john thought about fighting for these people .;AffObj
john thought about fighting for these laws .;AffObj
john thought about fighting against these causes .;AffObj
john thought about fighting against these movements .;AffObj
john thought about fighting against these people .;AffObj
john thought about fighting against these laws .;AffObj
mary feared fighting for these causes .;AffObj
mary feared fighting for these movements .;AffObj
mary feared fighting for these people .;AffObj
mary feared fighting for these laws .;AffObj
mary feared fighting against these causes .;AffObj
mary feared fighting against these movements .;AffObj
mary feared fighting against these people .;AffObj
mary feared fighting against these laws .;AffObj
mary loved fighting for these causes .;AffObj
mary loved fighting for these movements .;AffObj
mary loved fighting for these people .;AffObj
mary loved fighting for these laws .;AffObj
mary loved fighting against these causes .;AffObj
mary loved fighting against these movements .;AffObj
mary loved fighting against these people .;AffObj
mary loved fighting against these laws .;AffObj
mary hated fighting for these causes .;AffObj
mary hated fighting for these movements .;AffObj
mary hated fighting for these people .;AffObj
mary hated fighting for these laws .;AffObj
mary hated fighting against these causes .;AffObj
mary hated fighting against these movements .;AffObj
mary hated fighting against these people .;AffObj
mary hated fighting against these laws .;AffObj
mary thought about fighting for these causes .;AffObj
mary thought about fighting for these movements .;AffObj
mary thought about fighting for these people .;AffObj
mary thought about fighting for these laws .;AffObj
mary thought about fighting against these causes .;AffObj
mary thought about fighting against these movements .;AffObj
mary thought about fighting against these people .;AffObj
mary thought about fighting against these laws .;AffObj
politicians feared fighting for these causes .;AffObj
politicians feared fighting for these movements .;AffObj
politicians feared fighting for these people .;AffObj
politicians feared fighting for these laws .;AffObj
politicians feared fighting against these causes .;AffObj
politicians feared fighting against these movements .;AffObj
politicians feared fighting against these people .;AffObj
politicians feared fighting against these laws .;AffObj
politicians loved fighting for these causes .;AffObj
politicians loved fighting for these movements .;AffObj
politicians loved fighting for these people .;AffObj
politicians loved fighting for these laws .;AffObj
politicians loved fighting against these causes .;AffObj
politicians loved fighting against these movements .;AffObj
politicians loved fighting against these people .;AffObj
politicians loved fighting against these laws .;AffObj
politicians hated fighting for these causes .;AffObj
politicians hated fighting for these movements .;AffObj
politicians hated fighting for these people .;AffObj
politicians hated fighting for these laws .;AffObj
politicians hated fighting against these causes .;AffObj
politicians hated fighting against these movements .;AffObj
politicians hated fighting against these people .;AffObj
politicians hated fighting against these laws .;AffObj
politicians thought about fighting for these causes .;AffObj
politicians thought about fighting for these movements .;AffObj
politicians thought about fighting for these people .;AffObj
politicians thought about fighting for these laws .;AffObj
politicians thought about fighting against these causes .;AffObj
politicians thought about fighting against these movements .;AffObj
politicians thought about fighting against these people .;AffObj
politicians thought about fighting against these laws .;AffObj
activists feared fighting for these causes .;AffObj
activists feared fighting for these movements .;AffObj
activists feared fighting for these people .;AffObj
activists feared fighting for these laws .;AffObj
activists feared fighting against these causes .;AffObj
activists feared fighting against these movements .;AffObj
activists feared fighting against these people .;AffObj
activists feared fighting against these laws .;AffObj
activists loved fighting for these causes .;AffObj
activists loved fighting for these movements .;AffObj
activists loved fighting for these people .;AffObj
activists loved fighting for these laws .;AffObj
activists loved fighting against these causes .;AffObj
activists loved fighting against these movements .;AffObj
activists loved fighting against these people .;AffObj
activists loved fighting against these laws .;AffObj
activists hated fighting for these causes .;AffObj
activists hated fighting for these movements .;AffObj
activists hated fighting for these people .;AffObj
activists hated fighting for these laws .;AffObj
activists hated fighting against these causes .;AffObj
activists hated fighting against these movements .;AffObj
activists hated fighting against these people .;AffObj
activists hated fighting against these laws .;AffObj
activists thought about fighting for these causes .;AffObj
activists thought about fighting for these movements .;AffObj
activists thought about fighting for these people .;AffObj
activists thought about fighting for these laws .;AffObj
activists thought about fighting against these causes .;AffObj
activists thought about fighting against these movements .;AffObj
activists thought about fighting against these people .;AffObj
activists thought about fighting against these laws .;AffObj
governments feared fighting for these causes .;AffObj
governments feared fighting for these movements .;AffObj
governments feared fighting for these people .;AffObj
governments feared fighting for these laws .;AffObj
governments feared fighting against these causes .;AffObj
governments feared fighting against these movements .;AffObj
governments feared fighting against these people .;AffObj
governments feared fighting against these laws .;AffObj
governments loved fighting for these causes .;AffObj
governments loved fighting for these movements .;AffObj
governments loved fighting for these people .;AffObj
governments loved fighting for these laws .;AffObj
governments loved fighting against these causes .;AffObj
governments loved fighting against these movements .;AffObj
governments loved fighting against these people .;AffObj
governments loved fighting against these laws .;AffObj
governments hated fighting for these causes .;AffObj
governments hated fighting for these movements .;AffObj
governments hated fighting for these people .;AffObj
governments hated fighting for these laws .;AffObj
governments hated fighting against these causes .;AffObj
governments hated fighting against these movements .;AffObj
governments hated fighting against these people .;AffObj
governments hated fighting against these laws .;AffObj
governments thought about fighting for these causes .;AffObj
governments thought about fighting for these movements .;AffObj
governments thought about fighting for these people .;AffObj
governments thought about fighting for these laws .;AffObj
governments thought about fighting against these causes .;AffObj
governments thought about fighting against these movements .;AffObj
governments thought about fighting against these people .;AffObj
governments thought about fighting against these laws .;AffObj
fighting for these causes scared john .;AffSubj
fighting for these causes scared mary .;AffSubj
fighting for these causes scared politicians .;AffSubj
fighting for these causes scared activists .;AffSubj
fighting for these causes scared governments .;AffSubj
fighting for these causes appealed to john .;AffSubj
fighting for these causes appealed to mary .;AffSubj
fighting for these causes appealed to politicians .;AffSubj
fighting for these causes appealed to activists .;AffSubj
fighting for these causes appealed to governments .;AffSubj
fighting for these causes fascinated john .;AffSubj
fighting for these causes fascinated mary .;AffSubj
fighting for these causes fascinated politicians .;AffSubj
fighting for these causes fascinated activists .;AffSubj
fighting for these causes fascinated governments .;AffSubj
fighting for these causes disgusted john .;AffSubj
fighting for these causes disgusted mary .;AffSubj
fighting for these causes disgusted politicians .;AffSubj
fighting for these causes disgusted activists .;AffSubj
fighting for these causes disgusted governments .;AffSubj
fighting for these movements scared john .;AffSubj
fighting for these movements scared mary .;AffSubj
fighting for these movements scared politicians .;AffSubj
fighting for these movements scared activists .;AffSubj
fighting for these movements scared governments .;AffSubj
fighting for these movements appealed to john .;AffSubj
fighting for these movements appealed to mary .;AffSubj
fighting for these movements appealed to politicians .;AffSubj
fighting for these movements appealed to activists .;AffSubj
fighting for these movements appealed to governments .;AffSubj
fighting for these movements fascinated john .;AffSubj
fighting for these movements fascinated mary .;AffSubj
fighting for these movements fascinated politicians .;AffSubj
fighting for these movements fascinated activists .;AffSubj
fighting for these movements fascinated governments .;AffSubj
fighting for these movements disgusted john .;AffSubj
fighting for these movements disgusted mary .;AffSubj
fighting for these movements disgusted politicians .;AffSubj
fighting for these movements disgusted activists .;AffSubj
fighting for these movements disgusted governments .;AffSubj
fighting for these people scared john .;AffSubj
fighting for these people scared mary .;AffSubj
fighting for these people scared politicians .;AffSubj
fighting for these people scared activists .;AffSubj
fighting for these people scared governments .;AffSubj
fighting for these people appealed to john .;AffSubj
fighting for these people appealed to mary .;AffSubj
fighting for these people appealed to politicians .;AffSubj
fighting for these people appealed to activists .;AffSubj
fighting for these people appealed to governments .;AffSubj
fighting for these people fascinated john .;AffSubj
fighting for these people fascinated mary .;AffSubj
fighting for these people fascinated politicians .;AffSubj
fighting for these people fascinated activists .;AffSubj
fighting for these people fascinated governments .;AffSubj
fighting for these people disgusted john .;AffSubj
fighting for these people disgusted mary .;AffSubj
fighting for these people disgusted politicians .;AffSubj
fighting for these people disgusted activists .;AffSubj
fighting for these people disgusted governments .;AffSubj
fighting for these laws scared john .;AffSubj
fighting for these laws scared mary .;AffSubj
fighting for these laws scared politicians .;AffSubj
fighting for these laws scared activists .;AffSubj
fighting for these laws scared governments .;AffSubj
fighting for these laws appealed to john .;AffSubj
fighting for these laws appealed to mary .;AffSubj
fighting for these laws appealed to politicians .;AffSubj
fighting for these laws appealed to activists .;AffSubj
fighting for these laws appealed to governments .;AffSubj
fighting for these laws fascinated john .;AffSubj
fighting for these laws fascinated mary .;AffSubj
fighting for these laws fascinated politicians .;AffSubj
fighting for these laws fascinated activists .;AffSubj
fighting for these laws fascinated governments .;AffSubj
fighting for these laws disgusted john .;AffSubj
fighting for these laws disgusted mary .;AffSubj
fighting for these laws disgusted politicians .;AffSubj
fighting for these laws disgusted activists .;AffSubj
fighting for these laws disgusted governments .;AffSubj
fighting against these causes scared john .;AffSubj
fighting against these causes scared mary .;AffSubj
fighting against these causes scared politicians .;AffSubj
fighting against these causes scared activists .;AffSubj
fighting against these causes scared governments .;AffSubj
fighting against these causes appealed to john .;AffSubj
fighting against these causes appealed to mary .;AffSubj
fighting against these causes appealed to politicians .;AffSubj
fighting against these causes appealed to activists .;AffSubj
fighting against these causes appealed to governments .;AffSubj
fighting against these causes fascinated john .;AffSubj
fighting against these causes fascinated mary .;AffSubj
fighting against these causes fascinated politicians .;AffSubj
fighting against these causes fascinated activists .;AffSubj
fighting against these causes fascinated governments .;AffSubj
fighting against these causes disgusted john .;AffSubj
fighting against these causes disgusted mary .;AffSubj
fighting against these causes disgusted politicians .;AffSubj
fighting against these causes disgusted activists .;AffSubj
fighting against these causes disgusted governments .;AffSubj
fighting against these movements scared john .;AffSubj
fighting against these movements scared mary .;AffSubj
fighting against these movements scared politicians .;AffSubj
fighting against these movements scared activists .;AffSubj
fighting against these movements scared governments .;AffSubj
fighting against these movements appealed to john .;AffSubj
fighting against these movements appealed to mary .;AffSubj
fighting against these movements appealed to politicians .;AffSubj
fighting against these movements appealed to activists .;AffSubj
fighting against these movements appealed to governments .;AffSubj
fighting against these movements fascinated john .;AffSubj
fighting against these movements fascinated mary .;AffSubj
fighting against these movements fascinated politicians .;AffSubj
fighting against these movements fascinated activists .;AffSubj
fighting against these movements fascinated governments .;AffSubj
fighting against these movements disgusted john .;AffSubj
fighting against these movements disgusted mary .;AffSubj
fighting against these movements disgusted politicians .;AffSubj
fighting against these movements disgusted activists .;AffSubj
fighting against these movements disgusted governments .;AffSubj
fighting against these people scared john .;AffSubj
fighting against these people scared mary .;AffSubj
fighting against these people scared politicians .;AffSubj
fighting against these people scared activists .;AffSubj
fighting against these people scared governments .;AffSubj
fighting against these people appealed to john .;AffSubj
fighting against these people appealed to mary .;AffSubj
fighting against these people appealed to politicians .;AffSubj
fighting against these people appealed to activists .;AffSubj
fighting against these people appealed to governments .;AffSubj
fighting against these people fascinated john .;AffSubj
fighting against these people fascinated mary .;AffSubj
fighting against these people fascinated politicians .;AffSubj
fighting against these people fascinated activists .;AffSubj
fighting against these people fascinated governments .;AffSubj
fighting against these people disgusted john .;AffSubj
fighting against these people disgusted mary .;AffSubj
fighting against these people disgusted politicians .;AffSubj
fighting against these people disgusted activists .;AffSubj
fighting against these people disgusted governments .;AffSubj
fighting against these laws scared john .;AffSubj
fighting against these laws scared mary .;AffSubj
fighting against these laws scared politicians .;AffSubj
