Sentences,Cases
the student that had seen her gave a brief speech .,SubjectRC
the student that had seen mary gave a brief speech .,SubjectRC
the student that had seen the woman gave a brief speech .,SubjectRC
the student that had spoken with her gave a brief speech .,SubjectRC
the student that had spoken with mary gave a brief speech .,SubjectRC
the student that had spoken with the woman gave a brief speech .,SubjectRC
the student that had interviewed her gave a brief speech .,SubjectRC
the student that had interviewed mary gave a brief speech .,SubjectRC
the student that had interviewed the woman gave a brief speech .,SubjectRC
the student that had mentioned her gave a brief speech .,SubjectRC
the student that had mentioned mary gave a brief speech .,SubjectRC
the student that had mentioned the woman gave a brief speech .,SubjectRC
the student that had approached her gave a brief speech .,SubjectRC
the student that had approached mary gave a brief speech .,SubjectRC
the student that had approached the woman gave a brief speech .,SubjectRC
the student that had met her gave a brief speech .,SubjectRC
the student that had met mary gave a brief speech .,SubjectRC
the student that had met the woman gave a brief speech .,SubjectRC
the student that had lived with her gave a brief speech .,SubjectRC
the student that had lived with mary gave a brief speech .,SubjectRC
the student that had lived with the woman gave a brief speech .,SubjectRC
the student who had seen her gave a brief speech .,SubjectRC
the student who had seen mary gave a brief speech .,SubjectRC
the student who had seen the woman gave a brief speech .,SubjectRC
the student who had spoken with her gave a brief speech .,SubjectRC
the student who had spoken with mary gave a brief speech .,SubjectRC
the student who had spoken with the woman gave a brief speech .,SubjectRC
the student who had interviewed her gave a brief speech .,SubjectRC
the student who had interviewed mary gave a brief speech .,SubjectRC
the student who had interviewed the woman gave a brief speech .,SubjectRC
the student who had mentioned her gave a brief speech .,SubjectRC
the student who had mentioned mary gave a brief speech .,SubjectRC
the student who had mentioned the woman gave a brief speech .,SubjectRC
the student who had approached her gave a brief speech .,SubjectRC
the student who had approached mary gave a brief speech .,SubjectRC
the student who had approached the woman gave a brief speech .,SubjectRC
the student who had met her gave a brief speech .,SubjectRC
the student who had met mary gave a brief speech .,SubjectRC
the student who had met the woman gave a brief speech .,SubjectRC
the student who had lived with her gave a brief speech .,SubjectRC
the student who had lived with mary gave a brief speech .,SubjectRC
the student who had lived with the woman gave a brief speech .,SubjectRC
the man that had seen her gave a brief speech .,SubjectRC
the man that had seen mary gave a brief speech .,SubjectRC
the man that had seen the woman gave a brief speech .,SubjectRC
the man that had spoken with her gave a brief speech .,SubjectRC
the man that had spoken with mary gave a brief speech .,SubjectRC
the man that had spoken with the woman gave a brief speech .,SubjectRC
the man that had interviewed her gave a brief speech .,SubjectRC
the man that had interviewed mary gave a brief speech .,SubjectRC
the man that had interviewed the woman gave a brief speech .,SubjectRC
the man that had mentioned her gave a brief speech .,SubjectRC
the man that had mentioned mary gave a brief speech .,SubjectRC
the man that had mentioned the woman gave a brief speech .,SubjectRC
the man that had approached her gave a brief speech .,SubjectRC
the man that had approached mary gave a brief speech .,SubjectRC
the man that had approached the woman gave a brief speech .,SubjectRC
the man that had met her gave a brief speech .,SubjectRC
the man that had met mary gave a brief speech .,SubjectRC
the man that had met the woman gave a brief speech .,SubjectRC
the man that had lived with her gave a brief speech .,SubjectRC
the man that had lived with mary gave a brief speech .,SubjectRC
the man that had lived with the woman gave a brief speech .,SubjectRC
the man who had seen her gave a brief speech .,SubjectRC
the man who had seen mary gave a brief speech .,SubjectRC
the man who had seen the woman gave a brief speech .,SubjectRC
the man who had spoken with her gave a brief speech .,SubjectRC
the man who had spoken with mary gave a brief speech .,SubjectRC
the man who had spoken with the woman gave a brief speech .,SubjectRC
the man who had interviewed her gave a brief speech .,SubjectRC
the man who had interviewed mary gave a brief speech .,SubjectRC
the man who had interviewed the woman gave a brief speech .,SubjectRC
the man who had mentioned her gave a brief speech .,SubjectRC
the man who had mentioned mary gave a brief speech .,SubjectRC
the man who had mentioned the woman gave a brief speech .,SubjectRC
the man who had approached her gave a brief speech .,SubjectRC
the man who had approached mary gave a brief speech .,SubjectRC
the man who had approached the woman gave a brief speech .,SubjectRC
the man who had met her gave a brief speech .,SubjectRC
the man who had met mary gave a brief speech .,SubjectRC
the man who had met the woman gave a brief speech .,SubjectRC
the man who had lived with her gave a brief speech .,SubjectRC
the man who had lived with mary gave a brief speech .,SubjectRC
